index,jersey_number,player.id,player.name,position.id,position.name,match_id
2,10,4647,So-Yun Ji,15,Left Center Midfield,19726
2,17,17273,Adelina Engman,17,Right Wing,19726
2,23,4659,Ramona Bachmann,21,Left Wing,19726
2,24,4638,Drew Spence,23,Center Forward,19726
558,28,19421,Carly Mitchell Telford,1,Goalkeeper,19726
558,7,19422,Jessica Carter,2,Right Back,19726
558,4,4642,Millie Bright,3,Right Center Back,19726
558,16,4633,Magdalena Lilly Eriksson,5,Left Center Back,19726
558,20,10222,Jonna Ann-Charlotte Andersson,6,Left Back,19726
558,5,15549,Sophie Louise Ingle,10,Center Defensive Midfield,19726
558,8,15553,Karen Julia Carney,13,Right Center Midfield,19726
558,10,4647,So-Yun Ji,15,Left Center Midfield,19726
558,23,4659,Ramona Bachmann,17,Right Wing,19726
558,17,17273,Adelina Engman,21,Left Wing,19726
558,24,4638,Drew Spence,23,Center Forward,19726
1789,28,19421,Carly Mitchell Telford,1,Goalkeeper,19726
1789,7,19422,Jessica Carter,2,Right Back,19726
1789,4,4642,Millie Bright,3,Right Center Back,19726
1789,16,4633,Magdalena Lilly Eriksson,5,Left Center Back,19726
1789,20,10222,Jonna Ann-Charlotte Andersson,6,Left Back,19726
1789,18,10395,Maren Nævdal Mjelde,10,Center Defensive Midfield,19726
1789,5,15549,Sophie Louise Ingle,13,Right Center Midfield,19726
1789,10,4647,So-Yun Ji,15,Left Center Midfield,19726
1789,23,4659,Ramona Bachmann,17,Right Wing,19726
1789,17,17273,Adelina Engman,21,Left Wing,19726
1789,24,4638,Drew Spence,23,Center Forward,19726
2156,28,19421,Carly Mitchell Telford,1,Goalkeeper,19726
2156,7,19422,Jessica Carter,2,Right Back,19726
2156,4,4642,Millie Bright,3,Right Center Back,19726
2156,16,4633,Magdalena Lilly Eriksson,5,Left Center Back,19726
2156,20,10222,Jonna Ann-Charlotte Andersson,6,Left Back,19726
2156,18,10395,Maren Nævdal Mjelde,10,Center Defensive Midfield,19726
2156,17,17273,Adelina Engman,17,Right Wing,19726
2156,5,15549,Sophie Louise Ingle,19,Center Attacking Midfield,19726
2156,15,15550,Bethany England,21,Left Wing,19726
2156,24,4638,Drew Spence,22,Right Center Forward,19726
2156,14,4641,Francesca Kirby,24,Left Center Forward,19726
1,28,19421,Carly Mitchell Telford,1,Goalkeeper,19736
1,7,19422,Jessica Carter,2,Right Back,19736
1,4,4642,Millie Bright,3,Right Center Back,19736
1,16,4633,Magdalena Lilly Eriksson,5,Left Center Back,19736
1,20,10222,Jonna Ann-Charlotte Andersson,6,Left Back,19736
1,2,4636,Maria Thorisdottir,10,Center Defensive Midfield,19736
1,10,4647,So-Yun Ji,13,Right Center Midfield,19736
1,24,4638,Drew Spence,15,Left Center Midfield,19736
1,23,4659,Ramona Bachmann,17,Right Wing,19736
